Marca,Modelo,Año,Color,Precio_EUR,Potencia_HP,Aceleracion_0_100_s,Pais_fabricacion,VIN
Lamborghini,Aventador S,2018,Rojo burdeos,364400.0,752,2.92,Italia,ZHWU215DEZ1CTEVH0
Porsche,911 Turbo S (992),2021,Azul,200200.0,674,2.66,Alemania,WP0M65R6NNG2W7R5J
Chevrolet,Corvette C8 Stingray,2022,Amarillo,99300.0,474,2.91,EE.UU.,1G1E6RHWPAPNDH4AF
Porsche,911 Turbo S (992),2024,Azul,236400.0,653,2.61,Alemania,WP0L3E2LSH4DLDYSW
Porsche,911 GT3 (992),2024,Rojo burdeos,169400.0,509,3.49,Alemania,WP0SPE8ZY5379AU4R
Chevrolet,Corvette C8 Z06,2024,Azul eléctrico,126600.0,666,2.59,EE.UU.,1G107HM7JUAW0GZBZ
Lamborghini,Aventador S,2019,Blanco,303800.0,749,2.83,Italia,ZHWA0LY17PKF3F55Y
Lamborghini,Huracán EVO,2020,Naranja,224100.0,624,3.05,Italia,ZHWXAGUDCKSPVV7FE
Lamborghini,Huracán EVO,2019,Gris mate,233000.0,629,3.04,Italia,ZHW3E42M4ZFHYD8XF
Audi,R8 V10 Performance,2019,Gris mate,190800.0,630,3.13,Alemania,WUAUNUTW363SM6FCC
BMW,M4 Competition (G82),2021,Verde lima,70300.0,516,3.96,Alemania,WBS6305FATYXDS3AR
Ferrari,488 GTB,2022,Negro,237400.0,677,3.09,Italia,ZFFUY9CJD33L33XZA
Ferrari,F8 Tributo,2024,Azul,280600.0,726,2.89,Italia,ZFFS7F25TLGDLFGS8
Aston Martin,Vantage,2018,Rojo,174700.0,529,3.33,Reino Unido,SCFW64DZG8N4FPJAV
Aston Martin,Vantage,2024,Azul eléctrico,158300.0,476,3.37,Reino Unido,SCFK68G769HJDMDGZ
Audi,R8 V10 Performance,2019,Amarillo,273000.0,618,3.1,Alemania,WUAUH20M8GAVU0749
Ferrari,F8 Tributo,2021,Blanco,272200.0,730,2.76,Italia,ZFF2NDF6NT9FABT1B
Aston Martin,DBS Superleggera,2023,Azul,237600.0,731,3.42,Reino Unido,SCFHA6R2XECWNKEE1
McLaren,720S,2022,Gris mate,320900.0,710,2.96,Reino Unido,SBMZSM17GBG26UNLU
Lamborghini,Aventador S,2021,Rojo,395500.0,751,2.78,Italia,ZHWU0CPU4ML7KZKTL
Chevrolet,Corvette C8 Z06,2024,Gris mate,151100.0,664,2.56,EE.UU.,1G1BKS0KJDULWVVDZ
Audi,R8 V10 Performance,2024,Naranja,147000.0,641,3.18,Alemania,WUA5JZM5FKEC912FX
Lamborghini,Huracán EVO,2022,Verde lima,181200.0,610,2.97,Italia,ZHWSF906UEBW3F7W8
BMW,M4 Competition (G82),2023,Verde lima,70000.0,499,3.72,Alemania,WBSZUVAXVGFHYFHV4
Aston Martin,Vantage,2019,Azul,167700.0,511,3.71,Reino Unido,SCFR9D4TTMWT3DTR1
Chevrolet,Corvette C8 Z06,2024,Gris,147200.0,666,2.42,EE.UU.,1G1TEYEHUY1RMSAW8
Ferrari,488 GTB,2021,Naranja,232200.0,687,2.91,Italia,ZFFWB3GRLDWLMRHTG
Lamborghini,Huracán EVO,2019,Blanco,240600.0,635,2.7,Italia,ZHWE421FC19F8X7DW
Bugatti,Chiron,2017,Naranja,2013500.0,1501,2.33,Francia,VF9K61KRSC4F6K72N
Nissan,GT-R Nismo,2024,Blanco,180800.0,584,2.78,Japón,JN10TY6UPW9UBHXWU
Bugatti,Chiron,2023,Azul,2778000.0,1495,2.48,Francia,VF9WRM1YLBYDNGMHH
Ferrari,488 GTB,2018,Gris,237600.0,665,2.92,Italia,ZFFYFXYV15JESFKPX
Chevrolet,Corvette C8 Stingray,2022,Negro,79800.0,473,3.09,EE.UU.,1G1GE7CL7BCDXHJ6C
Aston Martin,Vantage,2018,Azul eléctrico,174900.0,530,3.61,Reino Unido,SCF8H23J8Y60JXXVM
Porsche,911 Turbo S (992),2020,Gris,241000.0,661,2.68,Alemania,WP0Y4399K5F7TERVV
Aston Martin,Vantage,2020,Rojo burdeos,112000.0,504,3.83,Reino Unido,SCF36DDG5AFB4A0TV
